direction,chrf++
eng_Latn-ban_Latn,43.1
eng_Latn-bel_Cyrl,41.1
eng_Latn-bem_Latn,37.5
eng_Latn-ben_Beng,48.7
eng_Latn-bho_Deva,41.6
eng_Latn-bjn_Arab,20.6
eng_Latn-bjn_Latn,47.7
eng_Latn-bod_Tibt,27.4
eng_Latn-bos_Latn,58
eng_Latn-bug_Latn,33.4
eng_Latn-bul_Cyrl,64.3
eng_Latn-cat_Latn,64.6
eng_Latn-ceb_Latn,57.5
eng_Latn-ces_Latn,56.5
eng_Latn-cjk_Latn,24.1
eng_Latn-ckb_Arab,45.2
eng_Latn-crh_Latn,44.8
eng_Latn-cym_Latn,66.2
eng_Latn-dan_Latn,66.6
eng_Latn-deu_Latn,62.8
eng_Latn-dik_Latn,22.9
eng_Latn-dyu_Latn,16.2
eng_Latn-dzo_Tibt,32.6
eng_Latn-ell_Grek,51.3
eng_Latn-epo_Latn,60.8
eng_Latn-est_Latn,54.8
eng_Latn-eus_Latn,48.5
eng_Latn-ewe_Latn,38.2
eng_Latn-fao_Latn,48
eng_Latn-fij_Latn,46.8
eng_Latn-fin_Latn,53.9
eng_Latn-fon_Latn,19.3
eng_Latn-fra_Latn,69.6
eng_Latn-fur_Latn,57.2
eng_Latn-fuv_Latn,23.2
eng_Latn-gaz_Latn,35.7
eng_Latn-gla_Latn,48.4
eng_Latn-gle_Latn,54.7
eng_Latn-glg_Latn,59.8
eng_Latn-grn_Latn,36.9
eng_Latn-guj_Gujr,52.2
eng_Latn-hat_Latn,51.3
eng_Latn-hau_Latn,52.5
eng_Latn-heb_Hebr,56.6
eng_Latn-hin_Deva,57
eng_Latn-hne_Deva,52.5
eng_Latn-hrv_Latn,56.2
eng_Latn-hun_Latn,55
eng_Latn-hye_Armn,51.3
eng_Latn-ibo_Latn,41.1
eng_Latn-ilo_Latn,53
eng_Latn-ind_Latn,68.8
eng_Latn-isl_Latn,49.4
eng_Latn-ita_Latn,57.1
eng_Latn-jav_Latn,54.4
eng_Latn-jpn_Jpan,25.2
eng_Latn-kab_Latn,32
eng_Latn-kac_Latn,38
eng_Latn-kam_Latn,23.6
eng_Latn-kan_Knda,52.8
eng_Latn-kas_Arab,33.2
eng_Latn-kas_Deva,17.8
eng_Latn-kat_Geor,47.2
eng_Latn-kaz_Cyrl,50.7
eng_Latn-kbp_Latn,29.5
eng_Latn-kea_Latn,47.9
eng_Latn-khk_Cyrl,42
eng_Latn-khm_Khmr,33.6
eng_Latn-kik_Latn,37.3
eng_Latn-kin_Latn,48.4
eng_Latn-kir_Cyrl,44
eng_Latn-kmb_Latn,24.4
eng_Latn-kmr_Latn,38.3
eng_Latn-knc_Arab,10.9
eng_Latn-knc_Latn,24.6
eng_Latn-kon_Latn,45.9
eng_Latn-kor_Hang,34.3
eng_Latn-lao_Laoo,44.5
eng_Latn-lij_Latn,48.9
eng_Latn-lim_Latn,44.5
eng_Latn-lin_Latn,48
eng_Latn-lit_Latn,53.2
eng_Latn-lmo_Latn,32.4
eng_Latn-ltg_Latn,49.1
eng_Latn-ltz_Latn,55.1
eng_Latn-lua_Latn,35.2
eng_Latn-lug_Latn,38.5
eng_Latn-luo_Latn,39
eng_Latn-lus_Latn,37
eng_Latn-lvs_Latn,51.8
eng_Latn-mag_Deva,55.7
eng_Latn-mai_Deva,44.1
eng_Latn-mal_Mlym,49.6
eng_Latn-mar_Deva,47.1
eng_Latn-min_Latn,50.6
eng_Latn-mkd_Cyrl,59.9
eng_Latn-mlt_Latn,64
eng_Latn-mni_Beng,37.9
eng_Latn-mos_Latn,24.1
eng_Latn-mri_Latn,45.1
eng_Latn-mya_Mymr,30.9
eng_Latn-nld_Latn,54.9
eng_Latn-nno_Latn,53.3
eng_Latn-nob_Latn,59
eng_Latn-npi_Deva,46.3
eng_Latn-nso_Latn,50.3
eng_Latn-nus_Latn,28.9
eng_Latn-nya_Latn,45.3
eng_Latn-oci_Latn,61
eng_Latn-ory_Orya,46.3
eng_Latn-pag_Latn,46.1
eng_Latn-pan_Guru,49.6
eng_Latn-pap_Latn,57.3
eng_Latn-pbt_Arab,38.6
eng_Latn-pes_Arab,49.4
eng_Latn-plt_Latn,50.2
eng_Latn-pol_Latn,48.4
eng_Latn-por_Latn,69.4
eng_Latn-prs_Arab,52.4
eng_Latn-quy_Latn,26.7
eng_Latn-ron_Latn,60.7
eng_Latn-run_Latn,41.9
eng_Latn-rus_Cyrl,56.1
eng_Latn-sag_Latn,36.5
eng_Latn-san_Deva,25.6
eng_Latn-sat_Olck,28.4
eng_Latn-scn_Latn,35.8
eng_Latn-shn_Mymr,34.3
eng_Latn-sin_Sinh,43.9
eng_Latn-slk_Latn,58.1
eng_Latn-slv_Latn,55
eng_Latn-smo_Latn,50.3
eng_Latn-sna_Latn,42.8
eng_Latn-snd_Arab,48.9
eng_Latn-som_Latn,42.8
eng_Latn-sot_Latn,46.5
eng_Latn-spa_Latn,54.2
eng_Latn-srd_Latn,56.7
eng_Latn-srp_Cyrl,58.2
eng_Latn-ssw_Latn,43.5
eng_Latn-sun_Latn,46.2
eng_Latn-swe_Latn,66
eng_Latn-swh_Latn,60
eng_Latn-szl_Latn,50.4
eng_Latn-tam_Taml,52.8
eng_Latn-taq_Latn,23
eng_Latn-taq_Tfng,18.8
eng_Latn-tat_Cyrl,48.7
eng_Latn-tel_Telu,54.4
eng_Latn-tgk_Cyrl,49.8
eng_Latn-tgl_Latn,60.6
eng_Latn-tha_Thai,40.5
eng_Latn-tir_Ethi,24.8
eng_Latn-tpi_Latn,43.1
eng_Latn-tsn_Latn,48.6
eng_Latn-tso_Latn,50.2
eng_Latn-tuk_Latn,41.6
eng_Latn-tum_Latn,36.6
eng_Latn-tur_Latn,57.8
eng_Latn-twi_Latn,38.3
eng_Latn-tzm_Tfng,30.6
eng_Latn-uig_Arab,41.2
eng_Latn-ukr_Cyrl,55
eng_Latn-umb_Latn,23.6
eng_Latn-urd_Arab,48.3
eng_Latn-uzn_Latn,51.8
eng_Latn-vec_Latn,47.8
eng_Latn-vie_Latn,59.3
eng_Latn-war_Latn,57.7
eng_Latn-wol_Latn,28.1
eng_Latn-xho_Latn,48.6
eng_Latn-ydd_Hebr,35.2
eng_Latn-yor_Latn,24.9
eng_Latn-yue_Hant,15.5
eng_Latn-zho_Hans,22.3
eng_Latn-zho_Hant,14.4
eng_Latn-zsm_Latn,66.3
eng_Latn-zul_Latn,53.5
epo_Latn-eng_Latn,67.7
est_Latn-eng_Latn,62.2
eus_Latn-eng_Latn,57.7
ewe_Latn-eng_Latn,39.2
fao_Latn-eng_Latn,56.4
fij_Latn-eng_Latn,43.5
fin_Latn-eng_Latn,60.4
fon_Latn-eng_Latn,31.3
fra_Latn-eng_Latn,68.1
fra_Latn-hau_Latn,43.6
fra_Latn-knc_Latn,23.2
fra_Latn-lin_Latn,46.6
fra_Latn-oci_Latn,55.8
fra_Latn-plt_Latn,47.3
fra_Latn-run_Latn,40.2
fra_Latn-wol_Latn,26.7
fur_Latn-eng_Latn,65.6
fuv_Latn-eng_Latn,32.4
fuv_Latn-knc_Latn,19.2
gaz_Latn-eng_Latn,48.5
gaz_Latn-som_Latn,35.1
gla_Latn-eng_Latn,56.2
gle_Latn-eng_Latn,63.8
glg_Latn-eng_Latn,67
glg_Latn-eus_Latn,43.8
grn_Latn-ayr_Latn,28.7
grn_Latn-eng_Latn,48.4
guj_Gujr-eng_Latn,66.4
guj_Gujr-kan_Knda,47.5
guj_Gujr-pan_Guru,44.8
guj_Gujr-san_Deva,24.8
guj_Gujr-sin_Sinh,40.7
guj_Gujr-tam_Taml,48.8
guj_Gujr-tel_Telu,48.9
guj_Gujr-urd_Arab,44.5
hat_Latn-eng_Latn,61.8
hau_Latn-eng_Latn,56.2
hau_Latn-knc_Latn,22.5
heb_Hebr-eng_Latn,66.3
hin_Deva-eng_Latn,65.9
hin_Deva-kan_Knda,47.3
hin_Deva-mag_Deva,49.9
hin_Deva-mai_Deva,41.2
hin_Deva-mar_Deva,42.7
hin_Deva-pan_Guru,46.5
hin_Deva-pbt_Arab,34.5
hin_Deva-san_Deva,24.7
hin_Deva-snd_Arab,43.7
hin_Deva-tam_Taml,48.1
hin_Deva-tel_Telu,48.5
hne_Deva-eng_Latn,70.5
hne_Deva-kan_Knda,47.2
hne_Deva-npi_Deva,47.4
hne_Deva-ory_Orya,43.1
hne_Deva-pbt_Arab,35.7
hne_Deva-sin_Sinh,41.5
hne_Deva-urd_Arab,44.7
hrv_Latn-bos_Latn,52.4
hrv_Latn-eng_Latn,62.3
hrv_Latn-srp_Cyrl,50.7
hun_Latn-bel_Cyrl,37
hun_Latn-eng_Latn,61.3
hun_Latn-hye_Armn,44.5
hun_Latn-srp_Cyrl,46.7
hye_Armn-eng_Latn,63.8
ibo_Latn-eng_Latn,53
ilo_Latn-eng_Latn,60.8
ind_Latn-eng_Latn,67.3
ind_Latn-shn_Mymr,32.6
ind_Latn-sun_Latn,45
isl_Latn-eng_Latn,56.6
ita_Latn-eng_Latn,61.2
ita_Latn-srd_Latn,48.4
jav_Latn-ace_Latn,36
jav_Latn-eng_Latn,62.9
jav_Latn-sun_Latn,44.9
jpn_Jpan-eng_Latn,55.1
jpn_Jpan-khk_Cyrl,34.9
jpn_Jpan-yue_Hant,12
kab_Latn-eng_Latn,44.6
kac_Latn-eng_Latn,39.3
kam_Latn-eng_Latn,34.7
kan_Knda-eng_Latn,60.7
kan_Knda-mai_Deva,36.1
kan_Knda-ory_Orya,41.1
kan_Knda-snd_Arab,40.5
kan_Knda-tam_Taml,47.4
kan_Knda-urd_Arab,41.6
kas_Arab-eng_Latn,57.6
kas_Deva-eng_Latn,46.3
kat_Geor-eng_Latn,56
kaz_Cyrl-eng_Latn,59.4
kbp_Latn-eng_Latn,36
kea_Latn-eng_Latn,68
khk_Cyrl-eng_Latn,52.6
khk_Cyrl-yue_Hant,10.5
khm_Khmr-eng_Latn,56.9
khm_Khmr-tgl_Latn,49.4
khm_Khmr-zsm_Latn,52.1
kik_Latn-eng_Latn,45.9
kin_Latn-eng_Latn,55.5
kir_Cyrl-eng_Latn,49.6
kmb_Latn-eng_Latn,35.3
kmr_Latn-ckb_Arab,34
kmr_Latn-eng_Latn,50.6
kmr_Latn-tat_Cyrl,36.8
knc_Arab-eng_Latn,18.7
knc_Latn-eng_Latn,35.3
kon_Latn-eng_Latn,43.8
kor_Hang-eng_Latn,56.1
kor_Hang-khk_Cyrl,35.5
lao_Laoo-eng_Latn,60.4
lao_Laoo-tgl_Latn,50.7
lij_Latn-eng_Latn,67.6
lim_Latn-eng_Latn,62.7
lin_Latn-eng_Latn,50.3
lit_Latn-eng_Latn,58.3
lmo_Latn-eng_Latn,61.1
ltg_Latn-eng_Latn,59.5
ltz_Latn-eng_Latn,68.7
ltz_Latn-fra_Latn,61.1
lua_Latn-eng_Latn,41.1
lug_Latn-eng_Latn,44.9
luo_Latn-eng_Latn,45.8
lus_Latn-eng_Latn,40.9
lvs_Latn-eng_Latn,60.4
lvs_Latn-ltg_Latn,44.3
mag_Deva-eng_Latn,70.2
mag_Deva-pan_Guru,47.1
mag_Deva-pbt_Arab,35.6
mag_Deva-sin_Sinh,41.7
mag_Deva-snd_Arab,44.3
mag_Deva-tel_Telu,48.2
mai_Deva-eng_Latn,66.9
mai_Deva-mal_Mlym,45.1
mai_Deva-mar_Deva,43.5
mai_Deva-npi_Deva,46.7
mai_Deva-pan_Guru,46.8
mai_Deva-pbt_Arab,35.4
mai_Deva-san_Deva,25.7
mai_Deva-tel_Telu,48.4
mai_Deva-urd_Arab,45.6
mal_Mlym-eng_Latn,62.8
mal_Mlym-pan_Guru,42
mal_Mlym-snd_Arab,41.1
mar_Deva-eng_Latn,62.5
mar_Deva-npi_Deva,43.4
mar_Deva-ory_Orya,41.4
mar_Deva-pbt_Arab,33.4
mar_Deva-sin_Sinh,39.2
mar_Deva-tel_Telu,47.5
min_Latn-eng_Latn,60.7
mkd_Cyrl-eng_Latn,66.6
mlt_Latn-eng_Latn,75.6
mlt_Latn-scn_Latn,33.7
mni_Beng-eng_Latn,51.4
mos_Latn-eng_Latn,32.3
mri_Latn-eng_Latn,50.7
mya_Mymr-eng_Latn,54.9
mya_Mymr-ind_Latn,51.7
mya_Mymr-khm_Khmr,28.5
nld_Latn-eng_Latn,59
nno_Latn-eng_Latn,67
nob_Latn-eng_Latn,65.9
nob_Latn-nno_Latn,50.5
npi_Deva-eng_Latn,65.9
npi_Deva-pan_Guru,44.6
npi_Deva-pbt_Arab,34.7
npi_Deva-sin_Sinh,41.5
npi_Deva-urd_Arab,44.2
nso_Latn-eng_Latn,60.9
nus_Latn-eng_Latn,38.2
nya_Latn-eng_Latn,50.8
oci_Latn-eng_Latn,76.1
ory_Orya-eng_Latn,63.3
ory_Orya-pbt_Arab,34.4
ory_Orya-tel_Telu,47.7
pag_Latn-eng_Latn,50.5
pan_Guru-eng_Latn,65.3
pan_Guru-sin_Sinh,41
pan_Guru-tam_Taml,48.4
pan_Guru-urd_Arab,45.4
pap_Latn-eng_Latn,71.3
pbt_Arab-eng_Latn,58.2
pbt_Arab-san_Deva,23
pbt_Arab-snd_Arab,38.9
pbt_Arab-tgk_Cyrl,41.1
pbt_Arab-urd_Arab,40.8
pes_Arab-eng_Latn,62.7
pes_Arab-prs_Arab,47.5
pes_Arab-tgk_Cyrl,44.4
plt_Latn-eng_Latn,56.1
pol_Latn-eng_Latn,57
pol_Latn-szl_Latn,41.6
por_Latn-cjk_Latn,22.7
por_Latn-eng_Latn,71.3
por_Latn-glg_Latn,56.1
por_Latn-kon_Latn,43.6
prs_Arab-eng_Latn,62.5
quy_Latn-ayr_Latn,25.4
quy_Latn-eng_Latn,33.9
ron_Latn-bel_Cyrl,38.9
ron_Latn-eng_Latn,68.1
ron_Latn-hye_Armn,46.7
ron_Latn-ukr_Cyrl,50
run_Latn-eng_Latn,49.3
rus_Cyrl-bak_Cyrl,47.9
rus_Cyrl-crh_Latn,41.7
rus_Cyrl-eng_Latn,61.3
rus_Cyrl-hye_Armn,46.4
rus_Cyrl-tat_Cyrl,48.3
sag_Latn-eng_Latn,33.3
san_Deva-eng_Latn,48.9
san_Deva-snd_Arab,34
san_Deva-urd_Arab,35.6
sat_Olck-eng_Latn,39.9
scn_Latn-eng_Latn,61.2
scn_Latn-fra_Latn,56
scn_Latn-ita_Latn,49
shn_Mymr-eng_Latn,47.9
sin_Sinh-eng_Latn,60.5
sin_Sinh-tam_Taml,46.4
sin_Sinh-tel_Telu,45.8
slk_Latn-ces_Latn,51.9
slk_Latn-eng_Latn,64.3
slv_Latn-eng_Latn,60.8
smo_Latn-eng_Latn,55.4
sna_Latn-eng_Latn,50.4
sna_Latn-sot_Latn,37.5
sna_Latn-tsn_Latn,41.3
snd_Arab-eng_Latn,64.5
snd_Arab-tam_Taml,47.3
snd_Arab-urd_Arab,45.3
som_Latn-eng_Latn,52.2
sot_Latn-eng_Latn,61.1
sot_Latn-xho_Latn,42.6
spa_Latn-ast_Latn,46.2
spa_Latn-ayr_Latn,29.5
spa_Latn-cat_Latn,52.8
spa_Latn-eng_Latn,59.1
spa_Latn-glg_Latn,51
spa_Latn-quy_Latn,27.1
srd_Latn-eng_Latn,66.4
srp_Cyrl-eng_Latn,67.1
srp_Cyrl-hrv_Latn,53.1
srp_Cyrl-slk_Latn,50.9
ssw_Latn-eng_Latn,50.5
ssw_Latn-tso_Latn,38.8
sun_Latn-ban_Latn,39.9
sun_Latn-eng_Latn,61.9
swe_Latn-eng_Latn,69.8
swe_Latn-fin_Latn,49.7
swe_Latn-ydd_Hebr,33
swh_Latn-eng_Latn,65
szl_Latn-eng_Latn,65.1
tam_Taml-eng_Latn,60
taq_Latn-eng_Latn,31.5
taq_Tfng-eng_Latn,26.2
tat_Cyrl-eng_Latn,56.7
tel_Telu-eng_Latn,65.4
tel_Telu-urd_Arab,42.6
tgk_Cyrl-eng_Latn,59.5
tgl_Latn-ceb_Latn,54
tgl_Latn-eng_Latn,68.2
tgl_Latn-ind_Latn,59.7
tgl_Latn-shn_Mymr,32.8
tha_Thai-eng_Latn,56.8
tha_Thai-khm_Khmr,30.9
tha_Thai-mya_Mymr,25.4
tha_Thai-shn_Mymr,31.1
tir_Ethi-eng_Latn,49
tir_Ethi-ita_Latn,39.9
tpi_Latn-eng_Latn,51.6
tsn_Latn-eng_Latn,51.1
tsn_Latn-ssw_Latn,37.7
tso_Latn-eng_Latn,53
tuk_Latn-eng_Latn,57.5
tum_Latn-eng_Latn,42.9
tur_Latn-crh_Latn,42
tur_Latn-eng_Latn,63.9
twi_Latn-eng_Latn,46
tzm_Tfng-eng_Latn,39.8
uig_Arab-eng_Latn,50.6
ukr_Cyrl-bel_Cyrl,41.3
ukr_Cyrl-eng_Latn,64.2
ukr_Cyrl-hye_Armn,47.1
ukr_Cyrl-tur_Latn,47.6
umb_Latn-eng_Latn,30
urd_Arab-eng_Latn,61.7
uzn_Latn-eng_Latn,59.9
vec_Latn-eng_Latn,65.9
vie_Latn-eng_Latn,61.5
vie_Latn-shn_Mymr,32
vie_Latn-tgl_Latn,51.1
war_Latn-eng_Latn,67.8
wol_Latn-eng_Latn,39.8
xho_Latn-eng_Latn,59.2
xho_Latn-tso_Latn,44.5
ydd_Hebr-eng_Latn,69.3
yor_Latn-eng_Latn,44.5
yue_Hant-eng_Latn,55.6
zho_Hans-eng_Latn,56.2
zho_Hans-khk_Cyrl,34.6
zho_Hans-yue_Hant,15.9
zho_Hant-eng_Latn,53.1
zsm_Latn-eng_Latn,67.8
zul_Latn-eng_Latn,60.9
zul_Latn-nso_Latn,45.6
zul_Latn-ssw_Latn,41
zul_Latn-tso_Latn,46.4
